date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog
14.11.15;34.0;60.1;0.0;0.0;0.0;MŠr 36;320;Dez 97;300;18. Dez;No
16.11.15;36.0;64.9;0.0;0.0;0.0;0.67;230;08. Mai;220;12. Aug;No
26.11.15;39.0;70.0;0.0;0.0;0.0;MŠr 36;90;10. Jul;100;Dez 97;No
13.12.15;50.0;73.0;0.0;0.0;0.0;Feb 91;220;10. Jul;210;14. Sep;Yes
15.12.15;48.0;72.0;0.0;0.0;0.0;Mai 59;240;18. Dez;240;25. Mai;No
17.12.15;51.1;59.0;0.89;0.0;0.0;02. Jan;300;14. Sep;310;21.92;Yes
19.12.15;26. Feb;48.0;0.0;0.0;0.0;Jun 71;240;21. MŠr;240;25.95;No
25.12.15;64.9;73.9;0.0;0.0;0.0;08. Mai;230;17.0;230;21. MŠr;Yes
30.12.15;63.0;66.9;Jan 79;0.0;0.0;Mai 14;290;14.99;290;23.94;Yes
03.01.16;31. Jan;53.1;0.0;0.0;0.0;MŠr 36;260;10. Jul;260;14. Sep;No
13.01.16;27. Jan;43.0;0.0;0.0;0.0;MŠr 36;240;12. Aug;230;18. Dez;No
15.01.16;35.1;51.1;0.37;0.0;0.0;Mai 59;90;25. Mai;90;31.09;Yes
19.01.16;18. Jan;32.0;0.0;0.0;0.0;Apr 47;300;14. Sep;290;23. Apr;No
22.01.16;25. Feb;32.0;0.95;Jan 18;0.0;12. MŠr;60;25. Mai;40;36.01;Yes
24.01.16;28. Feb;46.9;0.0;0.0;Jan 18;Feb 46;320;10. Jul;310;16. Nov;No
30.01.16;26. Feb;55.9;0.0;0.0;0.0;Mai 37;230;14.99;200;19.91;No
07.02.16;37.0;44.1;0.0;0.0;0.0;Jun 93;20;14.99;20;23. Apr;No
19.02.16;26. Feb;53.1;0.0;0.0;0.0;Jun 49;210;16. Nov;190;21.92;No
25.02.16;39.9;55.0;0.0;0.0;0.0;14. Sep;240;29.97;250;38.92;No
04.03.16;35.1;52.0;0.08;0.0;0.0;Mai 37;20;Dez 97;30;23.94;Yes
16.03.16;57.0;86.0;0.0;0.0;0.0;Mai 37;260;17.0;230;23.94;No
17.03.16;46.0;77.0;0.0;0.0;0.0;04. MŠr;230;21. MŠr;240;25. Mai;No
23.03.16;48.0;77.0;0.0;0.0;0.0;15.43;240;23.94;230;31.99;No
30.03.16;42.1;69.1;0.0;0.0;0.0;Jun 93;180;16. Nov;180;21. MŠr;No
04.04.16;46.0;75.9;0.0;0.0;0.0;12. Aug;230;25. Mai;240;31.99;No
10.04.16;29. Jan;60.1;0.0;0.0;0.0;Mai 14;190;12. Aug;110;18. Dez;No
13.04.16;45.0;64.0;0.0;0.0;0.0;Sep 17;50;19.91;50;23. Apr;No
20.04.16;57.0;75.0;0.0;0.0;0.0;09. Apr;80;19.91;80;25.95;No
27.04.16;64.0;87.1;0.52;0.0;0.0;Jul 83;230;17.0;230;21.92;Yes
03.05.16;63.0;79.0;0.44;0.0;0.0;Apr 47;210;14.99;210;19.91;Yes
09.05.16;57.9;81.0;0.12;0.0;0.0;Jan 34;240;Jun 93;240;10. Jul;Yes
11.05.16;63.0;82.9;0.0;0.0;0.0;Mai 37;230;14.99;220;18. Dez;Yes
15.05.16;48.0;66.9;0.0;0.0;0.0;Mai 14;250;17.0;240;23.94;No
18.05.16;57.0;64.0;0.1;0.0;0.0;Mai 82;40;Dez 97;30;17.0;Yes
23.05.16;51.1;68.0;0.02;0.0;0.0;Feb 68;50;14. Sep;40;21. MŠr;Yes
27.05.16;68.0;88.0;0.0;0.0;0.0;Jul 38;240;Dez 97;210;18. Dez;No
02.06.16;70.0;88.0;0.0;0.0;0.0;0.89;130;08. Mai;130;10. Jul;No
04.06.16;69.1;91.9;0.61;0.0;0.0;Apr 25;300;17.0;300;23.94;Yes
13.06.16;62.1;84.9;0.0;0.0;0.0;MŠr 13;40;Dez 97;300;16. Nov;No
15.06.16;70.0;91.0;0.45;0.0;0.0;MŠr 58;240;33.11;230;40.94;Yes
16.06.16;73.0;91.9;0.0;0.0;0.0;Mai 59;40;14.99;40;19.91;Yes
18.06.16;59.0;82.0;0.0;0.0;0.0;Sep 62;80;23. Apr;80;29.97;No
19.06.16;55.9;84.0;0.0;0.0;0.0;Feb 24;70;Dez 97;110;25. Mai;No
29.06.16;69.1;89.1;0.91;0.0;0.0;04. Jul;50;36.91;20;55.03;Yes
30.06.16;69.1;88.0;0.01;0.0;0.0;04. MŠr;170;14.99;180;18. Dez;Yes
01.07.16;72.0;89.1;0.0;0.0;0.0;Mai 82;240;14.99;240;18. Dez;Yes
02.07.16;71.1;88.0;Jan 66;0.0;0.0;Apr 25;310;17.0;290;35.12;Yes
04.07.16;69.1;84.9;0.02;0.0;0.0;Apr 25;180;14.99;180;18. Dez;Yes
05.07.16;73.0;95.0;0.42;0.0;0.0;Jun 71;240;31.09;240;38.92;Yes
06.07.16;72.0;91.0;0.0;0.0;0.0;06. Apr;250;17.0;20;25. Mai;No
08.07.16;71.1;93.9;0.25;0.0;0.0;06. Apr;20;21.92;20;36.01;Yes
23.07.16;72.0;95.0;0.0;0.0;0.0;Apr 47;210;12. Aug;220;Dez 97;No
25.07.16;77.0;96.1;0.0;0.0;0.0;Aug 72;220;14.99;210;19.91;No
08.09.16;68.0;96.1;0.0;0.0;0.0;Jun 71;230;16. Nov;240;19.91;No
14.09.16;66.0;91.0;0.0;0.0;0.0;03. Aug;170;Dez 97;190;17.0;Yes
21.09.16;70.0;75.0;0.49;0.0;0.0;Okt 74;40;18. Dez;40;27. Jul;Yes
06.10.16;59.0;72.0;0.02;0.0;0.0;Okt 29;50;17.0;20;23.94;Yes
08.10.16;63.0;70.0;Jun 45;0.0;0.0;16. Nov;40;31.99;40;46.98;Yes
26.11.16;32.0;57.9;0.0;0.0;0.0;Apr 92;20;14. Sep;330;21. MŠr;Yes
03.12.16;33.1;54.0;0.0;0.0;0.0;Feb 91;40;Dez 97;50;18. Dez;No
20.12.16;29. Jan;45.0;0.0;0.0;0.0;Apr 47;40;Dez 97;30;19. Jan;No
21.12.16;27. Jan;59.0;0.0;0.0;0.0;Feb 24;280;Aug 95;140;Dez 97;Yes
20.01.17;46.0;59.0;0.09;0.0;0.0;Feb 91;140;Aug 95;120;12. Aug;Yes
24.01.17;41.0;63.0;0.0;0.0;0.0;06. Apr;290;19.91;310;29. Aug;No
26.01.17;43.0;70.0;0.06;0.0;0.0;13.42;280;23.94;320;38.03;No
30.01.17;30.2;46.0;0.0;0.0;0.0;Jun 26;270;21. MŠr;280;29. Aug;No
06.02.17;31. Jan;68.0;0.0;0.0;0.0;04. Jul;210;Dez 97;220;16. Nov;No
10.02.17;26. Feb;51.1;0.0;0.0;0.0;Jun 71;210;21.92;220;25.95;No
02.04.17;48.9;69.1;0.0;0.0;0.0;06. Apr;80;16. Nov;90;21. MŠr;No
15.04.17;61.0;84.9;0.0;0.0;0.0;Sep 62;220;21. MŠr;220;27. Jul;No
16.04.17;60.1;82.0;0.0;0.0;0.0;Dez 75;250;23. Apr;240;31.09;No
17.04.17;62.1;86.0;0.05;0.0;0.0;Sep 84;310;19.91;300;31.99;Yes
03.06.17;57.0;88.0;0.0;0.0;0.0;MŠr 36;230;14.99;250;19.91;No
05.06.17;66.9;84.9;Jan 54;0.0;0.0;06. Apr;220;23.94;220;29. Aug;Yes
25.06.17;66.9;84.0;0.0;0.0;0.0;MŠr 58;360;12. Aug;290;17.0;Yes
28.06.17;57.0;82.9;0.0;0.0;0.0;Apr 25;80;Dez 97;30;18. Dez;No
18.07.17;71.1;89.1;0.0;0.0;0.0;Mai 14;10;Dez 97;360;19.91;No
